problem,variant,problem_label,n_seeds,protocol_id,final_source_counts,structured_accept_rate_mean,structured_accept_rate,structured_rL2_mean,structured_rL2_std,structured_rL2,final_rL2_mean,final_rL2_std,final_rL2,compression_ratio_mean,compression_ratio_std,compression_ratio,coverage95_mean,coverage95_std,coverage95,error_std_corr_mean,error_std_corr_std,error_std_corr,nu_rel_error_mean,nu_rel_error_std,nu_rel_error
laplace,full_structured_reconstruction,Laplace,5,unified_blind_protocol_v1,dense_student:5,0.0,0,0.00289500273898766,0.00029695549689240353,2.895e-03 +/- 2.970e-04,0.00020826427363432,7.235308737934695e-05,2.083e-04 +/- 7.235e-05,1.1243527751994964,0.01893536830089028,1.1244 +/- 0.0189,0.9509428571428572,0.004022386336086368,0.9509 +/- 4.022e-03,0.20284884874804981,0.3166919310182877,0.2028 +/- 0.3167,,,
laplace,without_boundary_or_initial_loss,Laplace,5,unified_blind_protocol_v1,dense_student:5,0.0,0,0.01053404811252338,0.001103208307813339,0.0105 +/- 1.103e-03,0.00020826427363432,7.235308737934695e-05,2.083e-04 +/- 7.235e-05,1.1243527751994964,0.01893536830089028,1.1244 +/- 0.0189,0.9510285714285714,0.004083815742710311,0.9510 +/- 4.084e-03,0.2026500010160484,0.31592699955970593,0.2027 +/- 0.3159,,,
laplace,without_distillation_loss,Laplace,5,unified_blind_protocol_v1,dense_student:5,0.0,0,0.00435586042240446,0.0008602933243311038,4.356e-03 +/- 8.603e-04,0.00020826427363432,7.235308737934695e-05,2.083e-04 +/- 7.235e-05,1.1243527751994964,0.01893536830089028,1.1244 +/- 0.0189,0.9510857142857143,0.004560925434199299,0.9511 +/- 4.561e-03,0.19825778278470246,0.3149639372966086,0.1983 +/- 0.3150,,,
laplace,without_pde_residual_loss,Laplace,5,unified_blind_protocol_v1,dense_student:5,0.0,0,0.013585881607847442,0.00131530636109268,0.0136 +/- 1.315e-03,0.00020826427363432,7.235308737934695e-05,2.083e-04 +/- 7.235e-05,1.1243527751994964,0.01893536830089028,1.1244 +/- 0.0189,0.9511714285714286,0.005631000201145917,0.9512 +/- 5.631e-03,0.20151909425186254,0.3161371493907304,0.2015 +/- 0.3161,,,
poisson,full_structured_reconstruction,Poisson,5,unified_blind_protocol_v1,dense_student:5,0.0,0,0.0028032421367409207,0.00110365282819228,2.803e-03 +/- 1.104e-03,0.00017810665572286,1.728929971091719e-05,1.781e-04 +/- 1.729e-05,1.1257094736493047,0.017865300462523343,1.1257 +/- 0.0179,0.9495999999999999,0.005585513332154311,0.9496 +/- 5.586e-03,0.4799016973023324,0.15434039467411537,0.4799 +/- 0.1543,,,
poisson,without_boundary_or_initial_loss,Poisson,5,unified_blind_protocol_v1,dense_student:5,0.0,0,0.0026965159213321603,0.001003787422986702,2.697e-03 +/- 1.004e-03,0.00022361892945792,8.900034256373807e-05,2.236e-04 +/- 8.900e-05,1.1364125261363636,0.02943725408688979,1.1364 +/- 0.0294,0.9496285714285715,0.003595064644191852,0.9496 +/- 3.595e-03,0.37090797310979806,0.20543716910072118,0.3709 +/- 0.2054,,,
poisson,without_distillation_loss,Poisson,5,unified_blind_protocol_v1,dense_student:5,0.0,0,0.004356002900573019,0.003735747058898814,4.356e-03 +/- 3.736e-03,0.00022361892945792,8.900034256373807e-05,2.236e-04 +/- 8.900e-05,1.1364125261363636,0.02943725408688979,1.1364 +/- 0.0294,0.9503142857142857,0.002270934357735325,0.9503 +/- 2.271e-03,0.382117866258591,0.23444510684376796,0.3821 +/- 0.2344,,,
poisson,without_hard_boundary_condition,Poisson,5,unified_blind_protocol_v1,dense_student:5,0.0,0,0.17479825789953876,0.020878444508955277,0.1748 +/- 0.0209,0.08522113477638474,0.008900745056692529,0.0852 +/- 8.901e-03,1.1213177760071127,0.02946819055609024,1.1213 +/- 0.0295,0.9508285714285716,0.0024398895926844638,0.9508 +/- 2.440e-03,0.41150554791080224,0.1357745097461242,0.4115 +/- 0.1358,,,
poisson,without_pde_residual_loss,Poisson,5,unified_blind_protocol_v1,dense_student:5,0.0,0,0.0196182074805645,0.0017166718478417945,0.0196 +/- 1.717e-03,0.00022361892945792,8.900034256373807e-05,2.236e-04 +/- 8.900e-05,1.1364125261363636,0.02943725408688979,1.1364 +/- 0.0294,0.9496857142857144,0.002698071873900807,0.9497 +/- 2.698e-03,0.34279435438639416,0.17789159801819956,0.3428 +/- 0.1779,,,
burgers_inverse,full_structured_reconstruction,Burgers inverse,5,unified_blind_protocol_v1,dense_student:1; structured:4,0.8,0.8000,0.01089939025681486,0.00023810611267486762,0.0109 +/- 2.381e-04,0.010855450205705339,0.0002136620787390973,0.0109 +/- 2.137e-04,1.7961223002998772,0.11897334666920507,1.7961 +/- 0.1190,0.9587428571428571,0.006080581336332543,0.9587 +/- 6.081e-03,0.4992185349574575,0.05356508087028041,0.4992 +/- 0.0536,,,
burgers_inverse,without_boundary_or_initial_loss,Burgers inverse,5,unified_blind_protocol_v1,dense_student:4; structured:1,0.2,0.2000,0.011572426627622699,0.0002780943552946306,0.0116 +/- 2.781e-04,0.01082376297538434,0.0003583317016998007,0.0108 +/- 3.583e-04,1.8214946263900156,0.08842411670495734,1.8215 +/- 0.0884,0.9620285714285715,0.010300782613422097,0.9620 +/- 0.0103,0.430944732447273,0.08681870499299273,0.4309 +/- 0.0868,0.00102485440635478,0.0008066966226858142,0.102% +/- 0.081%
burgers_inverse,without_distillation_loss,Burgers inverse,5,unified_blind_protocol_v1,dense_student:5,0.0,0,0.014426718486968379,0.0007344141708460847,0.0144 +/- 7.344e-04,0.010799279858609779,0.00032598625458262484,0.0108 +/- 3.260e-04,1.8214946263900156,0.08842411670495734,1.8215 +/- 0.0884,0.9632571428571428,0.010838047116806722,0.9633 +/- 0.0108,0.45444745371863116,0.0617342012030752,0.4544 +/- 0.0617,0.00102485440635478,0.0008066966226858142,0.102% +/- 0.081%
burgers_inverse,without_pde_residual_loss,Burgers inverse,5,unified_blind_protocol_v1,dense_student:3; structured:2,0.4,0.4000,0.01112173388585452,0.0009161412632747547,0.0111 +/- 9.161e-04,0.010620909721400722,0.0007979042592550932,0.0106 +/- 7.979e-04,1.8214946263900156,0.08842411670495734,1.8215 +/- 0.0884,0.9676571428571428,0.0064922245487843205,0.9677 +/- 6.492e-03,0.47207902297539694,0.05841806287120063,0.4721 +/- 0.0584,0.00102485440635478,0.0008066966226858142,0.102% +/- 0.081%
