problem,problem_label,variant,n_seeds,protocol_id,final_source_counts,structured_accept_rate_mean,structured_accept_rate,final_rL2_mean,final_rL2_std,final_rL2,dense_rL2_mean,dense_rL2_std,dense_rL2,structured_rL2_mean,structured_rL2_std,structured_rL2,compression_ratio_mean,compression_ratio_std,compression_ratio
laplace,Laplace,accuracy_only_guard,5,unified_blind_protocol_v1,dense_student:5,0.0,0,0.00020826427363432,7.235308737934695e-05,2.083e-04 +/- 7.235e-05,0.00020826427363432,7.235308737934695e-05,2.083e-04 +/- 7.235e-05,0.00289500273898766,0.00029695549689240353,2.895e-03 +/- 2.970e-04,1.1243527751994964,0.01893536830089028,1.1244 +/- 0.0189
laplace,Laplace,always_dense,5,unified_blind_protocol_v1,dense_student:5,0.0,0,0.00020826427363432,7.235308737934695e-05,2.083e-04 +/- 7.235e-05,0.00020826427363432,7.235308737934695e-05,2.083e-04 +/- 7.235e-05,0.00289500273898766,0.00029695549689240353,2.895e-03 +/- 2.970e-04,1.1243527751994964,0.01893536830089028,1.1244 +/- 0.0189
laplace,Laplace,always_structured,5,unified_blind_protocol_v1,structured:5,1.0,1.0000,0.00289500273898766,0.00029695549689240353,2.895e-03 +/- 2.970e-04,0.00020826427363432,7.235308737934695e-05,2.083e-04 +/- 7.235e-05,0.00289500273898766,0.00029695549689240353,2.895e-03 +/- 2.970e-04,1.1243527751994964,0.01893536830089028,1.1244 +/- 0.0189
laplace,Laplace,compression_only_guard,5,unified_blind_protocol_v1,dense_student:1; structured:4,0.8,0.8000,0.00225855005856348,0.0012013296410690215,2.259e-03 +/- 1.201e-03,0.00020826427363432,7.235308737934695e-05,2.083e-04 +/- 7.235e-05,0.00289500273898766,0.00029695549689240353,2.895e-03 +/- 2.970e-04,1.1243527751994964,0.01893536830089028,1.1244 +/- 0.0189
laplace,Laplace,full_gbsd,5,unified_blind_protocol_v1,dense_student:5,0.0,0,0.00020826427363432,7.235308737934695e-05,2.083e-04 +/- 7.235e-05,0.00020826427363432,7.235308737934695e-05,2.083e-04 +/- 7.235e-05,0.00289500273898766,0.00029695549689240353,2.895e-03 +/- 2.970e-04,1.1243527751994964,0.01893536830089028,1.1244 +/- 0.0189
laplace,Laplace,no_guard_random_source,5,unified_blind_protocol_v1,dense_student:2; structured:3,0.6,0.6000,0.0017643116582106004,0.001464570639944949,1.764e-03 +/- 1.465e-03,0.00020826427363432,7.235308737934695e-05,2.083e-04 +/- 7.235e-05,0.00289500273898766,0.00029695549689240353,2.895e-03 +/- 2.970e-04,1.1243527751994964,0.01893536830089028,1.1244 +/- 0.0189
poisson,Poisson,accuracy_only_guard,5,unified_blind_protocol_v1,dense_student:5,0.0,0,0.00017810665572286,1.728929971091719e-05,1.781e-04 +/- 1.729e-05,0.00017810665572286,1.728929971091719e-05,1.781e-04 +/- 1.729e-05,0.0028032421367409207,0.00110365282819228,2.803e-03 +/- 1.104e-03,1.1257094736493047,0.017865300462523343,1.1257 +/- 0.0179
poisson,Poisson,always_dense,5,unified_blind_protocol_v1,dense_student:5,0.0,0,0.00017810665572286,1.728929971091719e-05,1.781e-04 +/- 1.729e-05,0.00017810665572286,1.728929971091719e-05,1.781e-04 +/- 1.729e-05,0.0028032421367409207,0.00110365282819228,2.803e-03 +/- 1.104e-03,1.1257094736493047,0.017865300462523343,1.1257 +/- 0.0179
poisson,Poisson,always_structured,5,unified_blind_protocol_v1,structured:5,1.0,1.0000,0.0028032421367409207,0.00110365282819228,2.803e-03 +/- 1.104e-03,0.00017810665572286,1.728929971091719e-05,1.781e-04 +/- 1.729e-05,0.0028032421367409207,0.00110365282819228,2.803e-03 +/- 1.104e-03,1.1257094736493047,0.017865300462523343,1.1257 +/- 0.0179
poisson,Poisson,compression_only_guard,5,unified_blind_protocol_v1,structured:5,1.0,1.0000,0.0028032421367409207,0.00110365282819228,2.803e-03 +/- 1.104e-03,0.00017810665572286,1.728929971091719e-05,1.781e-04 +/- 1.729e-05,0.0028032421367409207,0.00110365282819228,2.803e-03 +/- 1.104e-03,1.1257094736493047,0.017865300462523343,1.1257 +/- 0.0179
poisson,Poisson,full_gbsd,5,unified_blind_protocol_v1,dense_student:5,0.0,0,0.00017810665572286,1.728929971091719e-05,1.781e-04 +/- 1.729e-05,0.00017810665572286,1.728929971091719e-05,1.781e-04 +/- 1.729e-05,0.0028032421367409207,0.00110365282819228,2.803e-03 +/- 1.104e-03,1.1257094736493047,0.017865300462523343,1.1257 +/- 0.0179
poisson,Poisson,no_guard_random_source,5,unified_blind_protocol_v1,dense_student:2; structured:3,0.6,0.6000,0.0017503070351290201,0.0018155629556521023,1.750e-03 +/- 1.816e-03,0.00017810665572286,1.728929971091719e-05,1.781e-04 +/- 1.729e-05,0.0028032421367409207,0.00110365282819228,2.803e-03 +/- 1.104e-03,1.1257094736493047,0.017865300462523343,1.1257 +/- 0.0179
burgers_inverse,Burgers inverse,accuracy_only_guard,5,unified_blind_protocol_v1,dense_student:1; structured:4,0.8,0.8000,0.010855450205705339,0.0002136620787390973,0.0109 +/- 2.137e-04,0.01078816161268606,0.0002160526978539348,0.0108 +/- 2.161e-04,0.01089939025681486,0.00023810611267486762,0.0109 +/- 2.381e-04,1.7961223002998772,0.11897334666920507,1.7961 +/- 0.1190
burgers_inverse,Burgers inverse,always_dense,5,unified_blind_protocol_v1,dense_student:5,0.0,0,0.01078816161268606,0.0002160526978539348,0.0108 +/- 2.161e-04,0.01078816161268606,0.0002160526978539348,0.0108 +/- 2.161e-04,0.01089939025681486,0.00023810611267486762,0.0109 +/- 2.381e-04,1.7961223002998772,0.11897334666920507,1.7961 +/- 0.1190
burgers_inverse,Burgers inverse,always_structured,5,unified_blind_protocol_v1,structured:5,1.0,1.0000,0.01089939025681486,0.00023810611267486762,0.0109 +/- 2.381e-04,0.01078816161268606,0.0002160526978539348,0.0108 +/- 2.161e-04,0.01089939025681486,0.00023810611267486762,0.0109 +/- 2.381e-04,1.7961223002998772,0.11897334666920507,1.7961 +/- 0.1190
burgers_inverse,Burgers inverse,compression_only_guard,5,unified_blind_protocol_v1,structured:5,1.0,1.0000,0.01089939025681486,0.00023810611267486762,0.0109 +/- 2.381e-04,0.01078816161268606,0.0002160526978539348,0.0108 +/- 2.161e-04,0.01089939025681486,0.00023810611267486762,0.0109 +/- 2.381e-04,1.7961223002998772,0.11897334666920507,1.7961 +/- 0.1190
burgers_inverse,Burgers inverse,full_gbsd,5,unified_blind_protocol_v1,dense_student:1; structured:4,0.8,0.8000,0.010855450205705339,0.0002136620787390973,0.0109 +/- 2.137e-04,0.01078816161268606,0.0002160526978539348,0.0108 +/- 2.161e-04,0.01089939025681486,0.00023810611267486762,0.0109 +/- 2.381e-04,1.7961223002998772,0.11897334666920507,1.7961 +/- 0.1190
burgers_inverse,Burgers inverse,no_guard_random_source,5,unified_blind_protocol_v1,dense_student:2; structured:3,0.6,0.6000,0.01082325391156952,0.0002704131313449301,0.0108 +/- 2.704e-04,0.01078816161268606,0.0002160526978539348,0.0108 +/- 2.161e-04,0.01089939025681486,0.00023810611267486762,0.0109 +/- 2.381e-04,1.7961223002998772,0.11897334666920507,1.7961 +/- 0.1190
