problem,variant,problem_label,n_seeds,protocol_id,final_source_counts,structured_accept_rate_mean,structured_accept_rate,coverage95_mean,coverage95_std,coverage95,nll_mean,nll_std,nll,aiw_mean,aiw_std,aiw,error_std_corr_mean,error_std_corr_std,error_std_corr,final_rL2_mean,final_rL2_std,final_rL2
poisson,disagreement_only,Poisson,5,unified_blind_protocol_v1,dense_student:5,0.0,0,0.9515142857142858,0.004294752374606016,0.9515 +/- 4.295e-03,520087.8001592421,21271.70258997414,5.201e+05 +/- 2.127e+04,0.0001698530169170381,6.86398940304876e-05,1.699e-04 +/- 6.864e-05,0.33447703847028787,0.17008929423393196,0.3345 +/- 0.1701,0.00017810665572286,1.728929971091719e-05,1.781e-04 +/- 1.729e-05
poisson,full_calibration,Poisson,5,unified_blind_protocol_v1,dense_student:5,0.0,0,0.9495999999999999,0.005585513332154311,0.9496 +/- 5.586e-03,-11.005953344241918,0.1298188470398498,-11.0060 +/- 0.1298,1.6724989422982626e-05,1.5145923603977683e-06,1.672e-05 +/- 1.515e-06,0.4799016973023324,0.15434039467411537,0.4799 +/- 0.1543,0.00017810665572286,1.728929971091719e-05,1.781e-04 +/- 1.729e-05
poisson,raw_mc_dropout,Poisson,5,unified_blind_protocol_v1,dense_student:5,0.0,0,0.9807142857142856,0.0007759128922285532,0.9807 +/- 7.759e-04,519941.7675020156,21144.399194198315,5.199e+05 +/- 2.114e+04,0.09587859499776556,0.0014843444465692283,0.0959 +/- 1.484e-03,0.4751014482216725,0.1488638485659115,0.4751 +/- 0.1489,0.00017810665572286,1.728929971091719e-05,1.781e-04 +/- 1.729e-05
poisson,temperature_only,Poisson,5,unified_blind_protocol_v1,dense_student:5,0.0,0,0.9497428571428571,0.004345300064789682,0.9497 +/- 4.345e-03,519934.6767943947,21144.395923549648,5.199e+05 +/- 2.114e+04,4.195853727430431e-05,6.112793601528636e-06,4.196e-05 +/- 6.113e-06,0.47510144842401847,0.14886384863809732,0.4751 +/- 0.1489,0.00017810665572286,1.728929971091719e-05,1.781e-04 +/- 1.729e-05
poisson,temperature_plus_disagreement,Poisson,5,unified_blind_protocol_v1,dense_student:5,0.0,0,0.9497428571428571,0.004345300064789682,0.9497 +/- 4.345e-03,519934.6767665135,21144.39591181098,5.199e+05 +/- 2.114e+04,4.195825978032786e-05,6.112586039134082e-06,4.196e-05 +/- 6.113e-06,0.47510160877292823,0.14886415381295523,0.4751 +/- 0.1489,0.00017810665572286,1.728929971091719e-05,1.781e-04 +/- 1.729e-05
burgers_inverse,disagreement_only,Burgers inverse,5,unified_blind_protocol_v1,dense_student:1; structured:4,0.8,0.8000,0.9496285714285715,0.0060572102422127684,0.9496 +/- 6.057e-03,671.5812298990195,472.75310469381924,671.5812 +/- 472.7531,0.04028727894165406,0.006874001599835673,0.0403 +/- 6.874e-03,0.37259073928375575,0.10750066551055276,0.3726 +/- 0.1075,0.010855450205705339,0.0002136620787390973,0.0109 +/- 2.137e-04
burgers_inverse,full_calibration,Burgers inverse,5,unified_blind_protocol_v1,dense_student:1; structured:4,0.8,0.8000,0.9587428571428571,0.006080581336332543,0.9587 +/- 6.081e-03,-3.857046418719662,0.053601148754835494,-3.8570 +/- 0.0536,0.017742382599499038,0.0029991204947223396,0.0177 +/- 2.999e-03,0.4992185349574575,0.05356508087028041,0.4992 +/- 0.0536,0.010855450205705339,0.0002136620787390973,0.0109 +/- 2.137e-04
burgers_inverse,raw_mc_dropout,Burgers inverse,5,unified_blind_protocol_v1,dense_student:1; structured:4,0.8,0.8000,1.0,0.0,1.0000 +/- 0,-1.6296717906717422,0.17630950549544763,-1.6297 +/- 0.1763,0.31213266450357435,0.06217572511880802,0.3121 +/- 0.0622,0.499218534367823,0.053565080945298105,0.4992 +/- 0.0536,0.010855450205705339,0.0002136620787390973,0.0109 +/- 2.137e-04
burgers_inverse,temperature_only,Burgers inverse,5,unified_blind_protocol_v1,dense_student:1; structured:4,0.8,0.8000,0.9468,0.003504516036924551,0.9468 +/- 3.505e-03,-3.813204717769544,0.08944199441516572,-3.8132 +/- 0.0894,0.01578307036878164,0.0021710179941197925,0.0158 +/- 2.171e-03,0.49921853454322,0.05356507790028976,0.4992 +/- 0.0536,0.010855450205705339,0.0002136620787390973,0.0109 +/- 2.137e-04
burgers_inverse,temperature_plus_disagreement,Burgers inverse,5,unified_blind_protocol_v1,dense_student:1; structured:4,0.8,0.8000,0.9468571428571428,0.0035742845723419434,0.9469 +/- 3.574e-03,-3.814386690285007,0.08909292570454558,-3.8144 +/- 0.0891,0.015753783705148818,0.0021718680339540357,0.0158 +/- 2.172e-03,0.503419556720484,0.05359328275926555,0.5034 +/- 0.0536,0.010855450205705339,0.0002136620787390973,0.0109 +/- 2.137e-04
